Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,Estimates Start After
Cambodia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",n/a,n/a,n/a,n/a,n/a,n/a,25.707,17.116,32.608,39.704,99.833,215.671,252.491,242.479,265.056,319.537,316.188,302.166,267.864,293.699,299.982,320.046,337.501,360.659,405.618,470.64,536.135,627.781,741.822,737.177,788.182,889.745,965.379,"1,034.77","1,123.13","1,203.44","1,320.28","1,448.02","1,587.94","1,736.32","1,606.81","1,661.75","1,771.38","1,901.05","2,042.45","2,191.76","2,354.67","2,528.94",2019
Cameroon,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,004.85","1,106.19","1,031.86","1,012.33","1,041.93","1,059.93","1,344.53","1,514.22","1,493.90","1,292.83","1,255.12","1,357.68","1,207.54","1,222.98",808.04,745.55,808.211,794.939,772.304,765.544,660.382,687.404,756.14,949.02,"1,089.42","1,101.55","1,147.50","1,277.67","1,439.39","1,409.94","1,353.41","1,464.89","1,404.41","1,527.77","1,604.63","1,382.65","1,412.87","1,468.93","1,585.96","1,533.16","1,539.35","1,667.32","1,584.00","1,608.54","1,695.04","1,784.19","1,876.45","1,973.49",2019
Canada,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","11,281.42","12,396.67","12,543.94","13,493.20","13,947.36","14,185.92","14,539.75","16,408.14","19,041.18","20,842.46","21,572.14","21,885.57","20,984.78","20,210.45","20,024.58","20,706.73","21,325.69","21,930.49","21,046.56","22,340.55","24,296.72","23,859.71","24,279.19","28,338.75","32,176.59","36,439.62","40,558.90","44,716.99","46,773.84","40,990.63","47,627.35","52,285.94","52,744.00","52,708.61","51,020.84","43,626.47","42,382.64","45,191.99","46,625.86","46,403.99","43,306.64","52,015.07","56,794.02","59,178.98","60,745.28","62,703.55","64,352.54","65,954.52",2021
Central African Republic,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",313.369,316.495,298.747,279.719,265.441,340.227,431.342,465.181,490.939,474.879,539.656,502.896,489.786,418.922,268.106,340.988,298.443,285.804,296.103,290.99,238.505,242.794,260.865,310.302,336.409,356.688,381.315,427.313,485.807,482.648,492.078,551.028,566.199,380.304,424.67,377.476,402.053,450.744,488.442,480.173,494.518,525.154,495.936,515.479,540.654,567.369,594.556,622.115,2004
Chad,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",163.554,189.349,178.888,174.759,182.983,192.956,230.715,253.529,287.003,262.413,306.217,293.844,296.666,251.096,196.901,233.418,250.861,232.968,254.121,215.939,188.139,223.102,250.264,330.959,513.888,661.203,712.529,803.018,932.601,805.798,895.354,985.629,970.738,982.92,"1,024.84",776.105,700.558,671.18,713.426,689.327,653.088,697.372,743.373,754.589,771.709,791.931,815.805,840.358,2017
Chile,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,597.55","3,025.26","2,219.44","1,774.26","1,698.55","1,434.10","1,514.71","1,755.80","2,034.86","2,305.09","2,520.98","2,849.07","3,391.29","3,571.26","4,057.60","5,152.67","5,386.14","5,796.35","5,474.11","4,980.14","5,096.34","4,606.79","4,478.91","4,824.73","6,184.41","7,559.85","9,414.68","10,445.43","10,751.48","10,162.89","12,710.96","14,552.06","15,313.57","15,743.27","14,583.04","13,494.11","13,717.58","14,994.25","15,739.91","14,567.63","12,968.52","16,065.04","15,603.61","17,281.12","17,677.07","18,313.67","18,901.66","19,553.35",2020
China,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",306.98,288.491,279.971,296.509,301.111,292.99,279.908,299.842,368.079,406.534,346.873,356.759,420.025,520.966,468.658,603.526,703.06,774.91,820.903,865.236,951.163,"1,044.96","1,141.14","1,282.21","1,499.71","1,751.37","2,095.24","2,691.05","3,446.70","3,813.41","4,499.80","5,553.24","6,282.71","7,039.57","7,645.88","8,034.29","8,063.45","8,760.26","9,848.95","10,170.06","10,525.00","12,561.69","12,970.33","13,629.26","14,671.49","15,898.49","17,267.37","18,826.23",2020
Colombia,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","1,681.74","1,792.25","1,878.09","1,827.16","1,767.17","1,623.00","1,592.20","1,623.39","1,714.21","1,693.40","1,690.42","1,711.65","1,985.73","2,208.30","2,725.71","3,034.08","3,135.79","3,397.94","3,089.64","2,672.58","2,534.44","2,460.33","2,423.36","2,312.60","2,826.04","3,493.98","3,836.68","4,834.42","5,622.11","5,330.81","6,498.59","7,518.30","8,237.29","8,409.70","8,312.06","6,337.03","6,037.13","6,577.29","6,923.64","6,540.14","5,368.32","6,158.91","6,644.49","6,939.55","7,218.89","7,521.39","7,853.52","8,197.04",2021
Comoros,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).",684.569,584.519,541.617,513.524,490.137,482.697,629.744,741.276,772.133,731.08,868.945,895.707,955.474,916.695,660.355,806.805,789.145,714.272,701.452,703.067,628.071,675.05,757.399,949.68,"1,055.36","1,085.66","1,110.98","1,251.86","1,403.80","1,351.15","1,322.64","1,450.16","1,403.42","1,500.73","1,505.18","1,231.14","1,256.04","1,300.57","1,386.01","1,359.75","1,357.29","1,393.93","1,299.68","1,302.16","1,324.78","1,363.52","1,407.54","1,451.65",2015
Democratic Republic of the Congo,"Gross domestic product per capita, current prices",U.S. dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","2,730.69","2,301.28","2,422.24","1,891.28","1,221.72","1,080.90","1,174.02","1,076.00","1,206.85","1,188.85","1,192.38","1,120.91",973.197,"1,222.44",639.608,601.803,750.736,642.729,461.123,410.453,397.025,146.542,171.076,171.505,189.173,215.172,248.176,280.397,316.269,289.689,326.681,379.705,417.545,450.642,479.602,490.698,459.14,460.832,553.88,573.292,536.45,603.228,660.21,703.907,747.751,793.333,840.639,887.395,2020
